x,y2,y1
0.015,0.00008,0
0.025,0.00017,0
0.034,0.00027,0
0.045,0.00033,0
0.055,0.00042,0
0.065,0.00061,0
0.075,0.00063,0
0.084,0.00067,0
0.094,0.00073,0
0.104,0.00069,0
0.115,0.00049,0
0.124,0.00047,0
0.134,0.00047,0
0.145,0.00045,0
0.154,0.00039,0
0.164,0.00044,0
0.175,0.00038,0
0.185,0.00027,0
0.194,0.00005,0
0.205,-0.00007,0
0.215,-0.00017,0
0.225,-0.00016,0
0.235,-0.00014,0
0.244,0.00005,0
0.255,0.00022,0
0.264,0.0004,0
0.275,0.00049,0
0.284,0.00057,0
0.295,0.00062,0
0.305,0.00066,0
0.315,0.00054,0
0.324,0.00055,0
0.335,0.00065,0
0.344,0.00068,0
0.354,0.00061,0
0.364,0.00068,0
0.375,0.00058,0
0.384,0.00043,0
0.394,0.00035,0
0.405,0.00036,0
0.414,0.00027,0
0.424,0.00026,0
0.434,0.00022,0
0.445,0.00024,0
0.455,0.00019,0
0.465,0.00032,0
0.475,0.00035,0
0.484,0.00028,0
0.495,0.00021,0
0.504,0.00019,0
0.515,0.00011,0
0.524,0.00007,0
0.535,0.00006,0
0.544,0.00011,0
0.555,0.00018,0
0.564,0.00022,0
0.575,0.00026,0
0.584,0.00045,0
0.595,0.00048,0
0.604,0.0004,0
0.614,0.00036,0
0.625,0.00039,0
0.635,0.00032,0
0.644,0.00031,0
0.655,0.00029,0
0.664,0.00027,0
0.674,0.00037,0
0.685,0.0004,0
0.695,0.00038,0
0.705,0.00055,0
0.715,0.00065,0
0.725,0.00063,0
0.734,0.00056,0
0.745,0.00052,0
0.754,0.0004,0
0.765,0.00031,0
0.774,0.00025,0
0.785,0.00032,0
0.794,0.00044,0
0.804,0.0004,0
0.814,0.00034,0
0.824,0.0004,0
0.834,0.00035,0
0.845,0.00021,0
0.854,0.00027,0
0.865,0.00041,0
0.874,0.00041,0
0.885,0.0004,0
0.894,0.00051,0
0.905,0.00057,0
0.914,0.00054,0
0.924,0.00049,0
0.934,0.00049,0
0.945,0.00054,0
0.955,0.00057,0
0.965,0.0006,0
0.975,0.00058,0
0.985,0.00065,0
0.994,0.00064,0
1.005,0.00076,0.4
1.014,0.0012,0.4
1.025,0.00179,0.4
1.034,0.00246,0.4
1.045,0.00315,0.4
1.054,0.00363,0.4
1.065,0.0039,0.4
1.075,0.00425,0.4
1.085,0.00464,0.4
1.095,0.00511,0.4
1.105,0.00572,0.4
1.115,0.0064,0.4
1.125,0.00704,0.4
1.134,0.00775,0.4
1.145,0.00854,0.4
1.155,0.00938,0.4
1.164,0.01025,0.4
1.174,0.01125,0.4
1.184,0.01209,0.4
1.195,0.01297,0.4
1.204,0.01397,0.4
1.214,0.01501,0.4
1.224,0.01599,0.4
1.235,0.0169,0.4
1.244,0.01776,0.4
1.255,0.01859,0.4
1.264,0.01945,0.4
1.275,0.02016,0.4
1.284,0.02108,0.4
1.295,0.022,0.4
1.304,0.02304,0.4
1.315,0.02396,0.4
1.325,0.02503,0.4
1.335,0.02611,0.4
1.344,0.02713,0.4
1.355,0.02794,0.4
1.365,0.02885,0.4
1.375,0.02973,0.4
1.384,0.03056,0.4
1.395,0.03139,0.4
1.405,0.03233,0.4
1.414,0.03321,0.4
1.424,0.03409,0.4
1.434,0.03497,0.4
1.445,0.03582,0.4
1.454,0.03665,0.4
1.464,0.03742,0.4
1.474,0.03821,0.4
1.485,0.03886,0.4
1.494,0.03958,0.4
1.505,0.04022,0.4
1.514,0.04091,0.4
1.525,0.04165,0.4
1.534,0.04244,0.4
1.545,0.04311,0.4
1.554,0.04382,0.4
1.565,0.04445,0.4
1.575,0.0451,0.4
1.585,0.04586,0.4
1.594,0.0466,0.4
1.605,0.04732,0.4
1.615,0.04806,0.4
1.625,0.04879,0.4
1.634,0.04931,0.4
1.645,0.05005,0.4
1.655,0.05078,0.4
1.664,0.05138,0.4
1.675,0.05197,0.4
1.684,0.0527,0.4
1.694,0.05319,0.4
1.704,0.05368,0.4
1.715,0.05435,0.4
1.725,0.0549,0.4
1.734,0.0553,0.4
1.744,0.05587,0.4
1.755,0.0564,0.4
1.765,0.05685,0.4
1.774,0.05732,0.4
1.784,0.05791,0.4
1.794,0.05839,0.4
1.804,0.05894,0.4
1.815,0.05944,0.4
1.825,0.05993,0.4
1.834,0.06029,0.4
1.844,0.06059,0.4
1.855,0.06097,0.4
1.865,0.06141,0.4
1.874,0.06174,0.4
1.884,0.06215,0.4
1.895,0.06259,0.4
1.905,0.06289,0.4
1.914,0.06319,0.4
1.925,0.06358,0.4
1.934,0.06377,0.4
1.944,0.0641,0.4
1.954,0.06445,0.4
1.964,0.06463,0.4
1.975,0.06485,0.4
1.985,0.06529,0.4
1.994,0.0656,0.4
2.004,0.06575,0.4
2.015,0.06602,0.4
2.024,0.06629,0.4
2.034,0.06649,0.4
2.044,0.06669,0.4
2.055,0.06686,0.4
2.065,0.06705,0.4
2.075,0.0672,0.4
2.084,0.06734,0.4
2.095,0.06751,0.4
2.104,0.06778,0.4
2.114,0.06807,0.4
2.125,0.06826,0.4
2.135,0.06848,0.4
2.145,0.06858,0.4
2.155,0.06867,0.4
2.164,0.06882,0.4
2.174,0.06894,0.4
2.184,0.06902,0.4
2.194,0.06917,0.4
2.204,0.06928,0.4
2.214,0.06933,0.4
2.224,0.06955,0.4
2.234,0.06977,0.4
2.244,0.07002,0.4
2.254,0.07034,0.4
2.265,0.0705,0.4
2.274,0.07057,0.4
2.284,0.07068,0.4
2.294,0.07073,0.4
2.305,0.0708,0.4
2.315,0.07094,0.4
2.324,0.07105,0.4
2.334,0.07114,0.4
2.345,0.0713,0.4
2.355,0.07135,0.4
2.364,0.0714,0.4
2.375,0.07151,0.4
2.385,0.07167,0.4
2.395,0.07175,0.4
2.404,0.0719,0.4
2.414,0.072,0.4
2.424,0.07216,0.4
2.434,0.07225,0.4
2.444,0.07237,0.4
2.454,0.07245,0.4
2.464,0.07257,0.4
2.474,0.0726,0.4
2.484,0.07276,0.4
2.494,0.07292,0.4
2.504,0.07292,0.4
2.515,0.07305,0.4
2.524,0.07313,0.4
2.534,0.073,0.4
2.544,0.07293,0.4
2.555,0.07307,0.4
2.565,0.07315,0.4
2.574,0.07332,0.4
2.584,0.07352,0.4
2.595,0.0736,0.4
2.605,0.07358,0.4
2.614,0.07355,0.4
2.625,0.07344,0.4
2.635,0.07339,0.4
2.645,0.0734,0.4
2.654,0.07343,0.4
2.664,0.07345,0.4
2.674,0.07347,0.4
2.684,0.07349,0.4
2.695,0.07353,0.4
2.704,0.07356,0.4
2.714,0.07357,0.4
2.724,0.07368,0.4
2.734,0.0736,0.4
2.744,0.07352,0.4
2.754,0.07348,0.4
2.765,0.07348,0.4
2.774,0.07337,0.4
2.784,0.07342,0.4
2.794,0.07342,0.4
2.804,0.07347,0.4
2.815,0.07347,0.4
2.825,0.07348,0.4
2.834,0.07341,0.4
2.845,0.07351,0.4
2.855,0.07351,0.4
2.865,0.07354,0.4
2.875,0.0736,0.4
2.884,0.07374,0.4
2.895,0.07365,0.4
2.905,0.07357,0.4
2.914,0.07346,0.4
2.924,0.07331,0.4
2.934,0.07324,0.4
2.945,0.07333,0.4
2.954,0.07342,0.4
2.964,0.07358,0.4
2.974,0.07372,0.4
2.984,0.07372,0.4
2.994,0.0736,0.4
3.004,0.07366,0.4
3.015,0.07358,0.4
3.024,0.07349,0.4
3.034,0.07352,0.4
3.044,0.07365,0.4
3.054,0.07362,0.4
3.065,0.07373,0.4
3.075,0.07379,0.4
3.084,0.07382,0.4
3.095,0.07379,0.4
3.105,0.07381,0.4
3.115,0.07379,0.4
3.125,0.07389,0.4
3.134,0.07402,0.4
3.145,0.07427,0.4
3.155,0.07442,0.4
3.164,0.07457,0.4
3.174,0.07465,0.4
3.184,0.07475,0.4
3.195,0.0747,0.4
3.205,0.07473,0.4
3.214,0.07471,0.4
3.225,0.07477,0.4
3.234,0.07482,0.4
3.244,0.07492,0.4
3.254,0.07499,0.4
3.265,0.0751,0.4
3.274,0.07518,0.4
3.285,0.07521,0.4
3.294,0.0752,0.4
3.304,0.07527,0.4
3.315,0.0753,0.4
3.324,0.07533,0.4
3.334,0.07543,0.4
3.345,0.07545,0.4
3.355,0.07546,0.4
3.365,0.07548,0.4
3.375,0.07554,0.4
3.385,0.07564,0.4
3.395,0.07576,0.4
3.405,0.07585,0.4
3.414,0.07604,0.4
3.424,0.07608,0.4
3.435,0.07598,0.4
3.444,0.07603,0.4
3.455,0.0761,0.4
3.464,0.07598,0.4
3.475,0.076,0.4
3.484,0.07621,0.4
3.494,0.07623,0.4
3.504,0.07624,0.4
3.515,0.07632,0.4
3.524,0.07633,0.4
3.535,0.07623,0.4
3.544,0.07627,0.4
3.554,0.07619,0.4
3.565,0.07618,0.4
3.574,0.07617,0.4
3.585,0.07611,0.4
3.595,0.07596,0.4
3.605,0.07599,0.4
3.615,0.07599,0.4
3.625,0.07604,0.4
3.635,0.07602,0.4
3.644,0.07601,0.4
3.655,0.07593,0.4
3.664,0.07583,0.4
3.675,0.07579,0.4
3.685,0.076,0.4
3.694,0.07604,0.4
3.704,0.07604,0.4
3.714,0.0761,0.4
3.724,0.07618,0.4
3.734,0.07591,0.4
3.744,0.07603,0.4
3.754,0.07609,0.4
3.765,0.07615,0.4
3.774,0.07612,0.4
3.785,0.07619,0.4
3.794,0.07607,0.4
3.804,0.076,0.4
3.815,0.076,0.4
3.824,0.07594,0.4
3.835,0.07594,0.4
3.845,0.07596,0.4
3.855,0.07607,0.4
3.865,0.0762,0.4
3.875,0.07629,0.4
3.885,0.07631,0.4
3.894,0.0763,0.4
3.905,0.07632,0.4
3.914,0.07623,0.4
3.925,0.0762,0.4
3.935,0.07633,0.4
3.944,0.07641,0.4
3.954,0.07635,0.4
3.964,0.0763,0.4
3.974,0.07626,0.4
3.984,0.07607,0.4
3.994,0.07599,0.4
4.004,0.07597,0.4
4.015,0.07595,0.4
4.024,0.07595,0.4
4.035,0.07598,0.4
4.044,0.0761,0.4
4.054,0.07614,0.4
4.065,0.07614,0.4
4.075,0.07622,0.4
4.085,0.07631,0.4
4.095,0.07617,0.4
4.104,0.07617,0.4
4.115,0.07621,0.4
4.124,0.07619,0.4
4.135,0.07606,0.4
4.144,0.07613,0.4
4.155,0.0762,0.4
4.164,0.07617,0.4
4.175,0.07625,0.4
4.184,0.07646,0.4
4.194,0.07647,0.4
4.204,0.07652,0.4
4.214,0.07643,0.4
4.225,0.07635,0.4
4.234,0.07608,0.4
4.245,0.07605,0.4
4.254,0.07599,0.4
4.265,0.07625,0.4
4.274,0.07626,0.4
4.285,0.07639,0.4
4.294,0.07639,0.4
4.304,0.07632,0.4
4.315,0.07623,0.4
4.325,0.07638,0.4
4.335,0.07644,0.4
4.345,0.07655,0.4
4.354,0.07656,0.4
4.365,0.07646,0.4
4.374,0.07633,0.4
4.385,0.0763,0.4
4.394,0.0762,0.4
4.405,0.07626,0.4
4.414,0.07629,0.4
4.425,0.07623,0.4
4.434,0.07623,0.4
4.444,0.07618,0.4
4.454,0.07613,0.4
4.464,0.07614,0.4
4.475,0.07627,0.4
4.484,0.07624,0.4
4.495,0.07632,0.4
4.504,0.07639,0.4
4.515,0.07641,0.4
4.524,0.07635,0.4
4.535,0.07632,0.4
4.544,0.07629,0.4
4.554,0.07625,0.4
4.565,0.07618,0.4
4.575,0.0762,0.4
4.585,0.07628,0.4
4.594,0.07636,0.4
4.604,0.07637,0.4
4.615,0.07641,0.4
4.624,0.07637,0.4
4.635,0.07635,0.4
4.644,0.07639,0.4
4.655,0.07638,0.4
4.664,0.07639,0.4
4.675,0.0764,0.4
4.684,0.07659,0.4
4.694,0.07646,0.4
4.705,0.07642,0.4
4.714,0.07647,0.4
4.725,0.07648,0.4
4.734,0.0763,0.4
4.745,0.07631,0.4
4.754,0.07628,0.4
4.765,0.07623,0.4
4.774,0.07601,0.4
4.785,0.07604,0.4
4.795,0.07612,0.4
4.804,0.07616,0.4
4.815,0.07614,0.4
4.825,0.07641,0.4
4.835,0.07633,0.4
4.844,0.07621,0.4
4.854,0.07622,0.4
4.865,0.0762,0.4
4.874,0.07616,0.4
4.885,0.07634,0.4
4.894,0.07645,0.4
4.905,0.0764,0.4
4.914,0.07645,0.4
4.925,0.0765,0.4
4.934,0.07648,0.4
4.944,0.07653,0.4
4.955,0.07676,0.4
4.964,0.07689,0.4
4.975,0.07688,0.4
4.984,0.07691,0.4
